voxel/serie,z,y,x
86312,31,39,28
86313,31,39,29
88757,32,33,9
88758,32,33,10
88759,32,33,11
88801,32,34,9
88802,32,34,10
88803,32,34,11
88845,32,35,9
88846,32,35,10
88847,32,35,11
88851,32,35,15
88852,32,35,16
88853,32,35,17
88854,32,35,18
88855,32,35,19
88862,32,35,26
88863,32,35,27
88864,32,35,28
88865,32,35,29
88866,32,35,30
88895,32,36,15
88896,32,36,16
88897,32,36,17
88898,32,36,18
88899,32,36,19
88905,32,36,25
88906,32,36,26
88907,32,36,27
88908,32,36,28
88909,32,36,29
88910,32,36,30
88939,32,37,15
88940,32,37,16
88941,32,37,17
88942,32,37,18
88943,32,37,19
88949,32,37,25
88950,32,37,26
88951,32,37,27
88952,32,37,28
88953,32,37,29
88954,32,37,30
88983,32,38,15
88984,32,38,16
88985,32,38,17
88986,32,38,18
88987,32,38,19
88993,32,38,25
88994,32,38,26
88995,32,38,27
88996,32,38,28
88997,32,38,29
89028,32,39,16
89029,32,39,17
89030,32,39,18
89031,32,39,19
89038,32,39,26
89039,32,39,27
89040,32,39,28
89041,32,39,29
91485,33,33,9
91486,33,33,10
91487,33,33,11
91529,33,34,9
91530,33,34,10
91531,33,34,11
91573,33,35,9
91574,33,35,10
91575,33,35,11
91579,33,35,15
91580,33,35,16
91581,33,35,17
91582,33,35,18
91590,33,35,26
91591,33,35,27
91592,33,35,28
91593,33,35,29
91594,33,35,30
91623,33,36,15
91624,33,36,16
91625,33,36,17
91626,33,36,18
91627,33,36,19
91633,33,36,25
91634,33,36,26
91635,33,36,27
91636,33,36,28
91637,33,36,29
91638,33,36,30
91667,33,37,15
91668,33,37,16
91669,33,37,17
91670,33,37,18
91671,33,37,19
91677,33,37,25
91678,33,37,26
91679,33,37,27
91680,33,37,28
91681,33,37,29
91682,33,37,30
91711,33,38,15
91712,33,38,16
91713,33,38,17
91714,33,38,18
91715,33,38,19
91721,33,38,25
91722,33,38,26
91723,33,38,27
91724,33,38,28
91725,33,38,29
91756,33,39,16
91757,33,39,17
91758,33,39,18
91759,33,39,19
91766,33,39,26
91767,33,39,27
91768,33,39,28
91769,33,39,29
94213,34,33,9
94214,34,33,10
94215,34,33,11
94257,34,34,9
94258,34,34,10
94259,34,34,11
94301,34,35,9
94302,34,35,10
94303,34,35,11
94307,34,35,15
94308,34,35,16
94309,34,35,17
94310,34,35,18
94318,34,35,26
94319,34,35,27
94320,34,35,28
94321,34,35,29
94322,34,35,30
94350,34,36,14
94351,34,36,15
94352,34,36,16
94353,34,36,17
94354,34,36,18
94362,34,36,26
94363,34,36,27
94364,34,36,28
94365,34,36,29
94366,34,36,30
94394,34,37,14
94395,34,37,15
94396,34,37,16
94397,34,37,17
94398,34,37,18
94399,34,37,19
94406,34,37,26
94407,34,37,27
94408,34,37,28
94409,34,37,29
94410,34,37,30
94438,34,38,14
94439,34,38,15
94440,34,38,16
94441,34,38,17
94442,34,38,18
94443,34,38,19
94450,34,38,26
94451,34,38,27
94452,34,38,28
94453,34,38,29
94484,34,39,16
94485,34,39,17
94486,34,39,18
94487,34,39,19
94495,34,39,27
94496,34,39,28
94497,34,39,29
94623,34,42,23
94624,34,42,24
94625,34,42,25
94667,34,43,23
94668,34,43,24
94669,34,43,25
94711,34,44,23
94712,34,44,24
94713,34,44,25
97078,35,36,14
97079,35,36,15
97080,35,36,16
97081,35,36,17
97082,35,36,18
97090,35,36,26
97091,35,36,27
97092,35,36,28
97093,35,36,29
97122,35,37,14
97123,35,37,15
97124,35,37,16
97125,35,37,17
97126,35,37,18
97134,35,37,26
97135,35,37,27
97136,35,37,28
97137,35,37,29
97143,35,37,35
97144,35,37,36
97145,35,37,37
97166,35,38,14
97167,35,38,15
97168,35,38,16
97169,35,38,17
97170,35,38,18
97178,35,38,26
97179,35,38,27
97180,35,38,28
97181,35,38,29
97187,35,38,35
97188,35,38,36
97189,35,38,37
97231,35,39,35
97232,35,39,36
97233,35,39,37
97351,35,42,23
97352,35,42,24
97353,35,42,25
97395,35,43,23
97396,35,43,24
97397,35,43,25
97439,35,44,23
97440,35,44,24
97441,35,44,25
99776,36,35,28
99777,36,35,29
99778,36,35,30
99806,36,36,14
99807,36,36,15
99808,36,36,16
99809,36,36,17
99820,36,36,28
99821,36,36,29
99822,36,36,30
99850,36,37,14
99851,36,37,15
99852,36,37,16
99853,36,37,17
99864,36,37,28
99865,36,37,29
99866,36,37,30
99871,36,37,35
99872,36,37,36
99873,36,37,37
99894,36,38,14
99895,36,38,15
99896,36,38,16
99897,36,38,17
99915,36,38,35
99916,36,38,36
99917,36,38,37
99959,36,39,35
99960,36,39,36
99961,36,39,37
100079,36,42,23
100080,36,42,24
100081,36,42,25
100082,36,42,26
100123,36,43,23
100124,36,43,24
100125,36,43,25
100126,36,43,26
100167,36,44,23
100168,36,44,24
100169,36,44,25
100170,36,44,26
102403,37,33,15
102404,37,33,16
102405,37,33,17
102447,37,34,15
102448,37,34,16
102449,37,34,17
102460,37,34,28
102461,37,34,29
102462,37,34,30
102491,37,35,15
102492,37,35,16
102493,37,35,17
102504,37,35,28
102505,37,35,29
102506,37,35,30
102548,37,36,28
102549,37,36,29
102550,37,36,30
102592,37,37,28
102593,37,37,29
102594,37,37,30
102599,37,37,35
102600,37,37,36
102601,37,37,37
102643,37,38,35
102644,37,38,36
102645,37,38,37
102687,37,39,35
102688,37,39,36
102689,37,39,37
102705,37,40,9
102706,37,40,10
102707,37,40,11
102749,37,41,9
102750,37,41,10
102751,37,41,11
102793,37,42,9
102794,37,42,10
102795,37,42,11
102808,37,42,24
102809,37,42,25
102810,37,42,26
102852,37,43,24
102853,37,43,25
102854,37,43,26
102896,37,44,24
102897,37,44,25
102898,37,44,26
105131,38,33,15
105132,38,33,16
105133,38,33,17
105175,38,34,15
105176,38,34,16
105177,38,34,17
105188,38,34,28
105189,38,34,29
105190,38,34,30
105191,38,34,31
105219,38,35,15
105220,38,35,16
105221,38,35,17
105230,38,35,26
105231,38,35,27
105232,38,35,28
105233,38,35,29
105234,38,35,30
105235,38,35,31
105263,38,36,15
105264,38,36,16
105265,38,36,17
105266,38,36,18
105267,38,36,19
105274,38,36,26
105275,38,36,27
105276,38,36,28
105277,38,36,29
105278,38,36,30
105279,38,36,31
105309,38,37,17
105310,38,37,18
105311,38,37,19
105318,38,37,26
105319,38,37,27
105320,38,37,28
105321,38,37,29
105322,38,37,30
