voxel/serie,z,y,x
56345,20,40,25
56346,20,40,26
56347,20,40,27
56348,20,40,28
56349,20,40,29
56350,20,40,30
56351,20,40,31
56352,20,40,32
56353,20,40,33
56377,20,41,13
56378,20,41,14
56379,20,41,15
56380,20,41,16
56381,20,41,17
56382,20,41,18
56383,20,41,19
56384,20,41,20
56389,20,41,25
56390,20,41,26
56391,20,41,27
56392,20,41,28
56393,20,41,29
56394,20,41,30
56395,20,41,31
56396,20,41,32
56397,20,41,33
56421,20,42,13
56422,20,42,14
56423,20,42,15
56424,20,42,16
56425,20,42,17
56426,20,42,18
56427,20,42,19
56428,20,42,20
56433,20,42,25
56434,20,42,26
56435,20,42,27
56436,20,42,28
56437,20,42,29
56438,20,42,30
56439,20,42,31
56440,20,42,32
56441,20,42,33
56465,20,43,13
56466,20,43,14
56467,20,43,15
56468,20,43,16
56469,20,43,17
56470,20,43,18
56471,20,43,19
56477,20,43,25
56478,20,43,26
56479,20,43,27
56480,20,43,28
56481,20,43,29
56482,20,43,30
56483,20,43,31
56484,20,43,32
56510,20,44,14
56511,20,44,15
56512,20,44,16
56513,20,44,17
56514,20,44,18
56515,20,44,19
56516,20,44,20
56521,20,44,25
56522,20,44,26
56523,20,44,27
56524,20,44,28
56525,20,44,29
56526,20,44,30
56527,20,44,31
56528,20,44,32
56554,20,45,14
56555,20,45,15
56556,20,45,16
56557,20,45,17
56558,20,45,18
56559,20,45,19
56560,20,45,20
56565,20,45,25
56566,20,45,26
56567,20,45,27
56568,20,45,28
56569,20,45,29
56570,20,45,30
56571,20,45,31
56598,20,46,14
56599,20,46,15
56600,20,46,16
56601,20,46,17
56602,20,46,18
56603,20,46,19
56604,20,46,20
56609,20,46,25
56610,20,46,26
56611,20,46,27
56612,20,46,28
56613,20,46,29
56614,20,46,30
56615,20,46,31
56646,20,47,18
56647,20,47,19
56648,20,47,20
56652,20,47,24
56653,20,47,25
56654,20,47,26
56655,20,47,27
56656,20,47,28
56690,20,48,18
56691,20,48,19
56692,20,48,20
56696,20,48,24
56697,20,48,25
56698,20,48,26
56699,20,48,27
56700,20,48,28
56734,20,49,18
56735,20,49,19
56736,20,49,20
56740,20,49,24
56741,20,49,25
56742,20,49,26
56743,20,49,27
56778,20,50,18
56779,20,50,19
56780,20,50,20
56785,20,50,25
56786,20,50,26
56787,20,50,27
56829,20,51,25
56830,20,51,26
56831,20,51,27
58984,21,38,24
58985,21,38,25
58986,21,38,26
59021,21,39,17
59022,21,39,18
59023,21,39,19
59024,21,39,20
59028,21,39,24
59029,21,39,25
59030,21,39,26
59031,21,39,27
59032,21,39,28
59062,21,40,14
59063,21,40,15
59064,21,40,16
59065,21,40,17
59066,21,40,18
59067,21,40,19
59068,21,40,20
59072,21,40,24
59073,21,40,25
59074,21,40,26
59075,21,40,27
59076,21,40,28
59077,21,40,29
59078,21,40,30
59079,21,40,31
59080,21,40,32
59081,21,40,33
59105,21,41,13
59106,21,41,14
59107,21,41,15
59108,21,41,16
59109,21,41,17
59110,21,41,18
59111,21,41,19
59112,21,41,20
59113,21,41,21
59117,21,41,25
59118,21,41,26
59119,21,41,27
59120,21,41,28
59121,21,41,29
59122,21,41,30
59123,21,41,31
59124,21,41,32
59125,21,41,33
59149,21,42,13
59150,21,42,14
59151,21,42,15
59152,21,42,16
59153,21,42,17
59154,21,42,18
59155,21,42,19
59156,21,42,20
59157,21,42,21
59160,21,42,24
59161,21,42,25
59162,21,42,26
59163,21,42,27
59164,21,42,28
59165,21,42,29
59166,21,42,30
59167,21,42,31
59168,21,42,32
59169,21,42,33
59193,21,43,13
59194,21,43,14
59195,21,43,15
59196,21,43,16
59197,21,43,17
59198,21,43,18
59199,21,43,19
59200,21,43,20
59201,21,43,21
59204,21,43,24
59205,21,43,25
59206,21,43,26
59207,21,43,27
59208,21,43,28
59209,21,43,29
59210,21,43,30
59211,21,43,31
59212,21,43,32
59238,21,44,14
59239,21,44,15
59240,21,44,16
59241,21,44,17
59242,21,44,18
59243,21,44,19
59244,21,44,20
59245,21,44,21
59248,21,44,24
59249,21,44,25
59250,21,44,26
59251,21,44,27
59252,21,44,28
59253,21,44,29
59254,21,44,30
59255,21,44,31
59256,21,44,32
59282,21,45,14
59283,21,45,15
59284,21,45,16
59285,21,45,17
59286,21,45,18
59287,21,45,19
59288,21,45,20
59294,21,45,26
59295,21,45,27
59296,21,45,28
59297,21,45,29
59298,21,45,30
59299,21,45,31
59300,21,45,32
59301,21,45,33
59326,21,46,14
59327,21,46,15
59328,21,46,16
59329,21,46,17
59330,21,46,18
59331,21,46,19
59332,21,46,20
59337,21,46,25
59338,21,46,26
59339,21,46,27
59340,21,46,28
59341,21,46,29
59342,21,46,30
59343,21,46,31
59344,21,46,32
59345,21,46,33
59370,21,47,14
59371,21,47,15
59372,21,47,16
59373,21,47,17
59374,21,47,18
59375,21,47,19
59376,21,47,20
59380,21,47,24
59381,21,47,25
59382,21,47,26
59383,21,47,27
59384,21,47,28
59385,21,47,29
59386,21,47,30
59387,21,47,31
59388,21,47,32
59389,21,47,33
59417,21,48,17
59418,21,48,18
59419,21,48,19
59420,21,48,20
59424,21,48,24
59425,21,48,25
59426,21,48,26
59427,21,48,27
59428,21,48,28
59429,21,48,29
59430,21,48,30
59431,21,48,31
59432,21,48,32
59462,21,49,18
59463,21,49,19
59464,21,49,20
59468,21,49,24
59469,21,49,25
59470,21,49,26
59471,21,49,27
59472,21,49,28
59506,21,50,18
59507,21,50,19
59508,21,50,20
59512,21,50,24
59513,21,50,25
59514,21,50,26
59515,21,50,27
59556,21,51,24
59557,21,51,25
59558,21,51,26
59559,21,51,27
59600,21,52,24
59601,21,52,25
59602,21,52,26
61705,22,38,17
61706,22,38,18
61707,22,38,19
61712,22,38,24
61713,22,38,25
61714,22,38,26
61715,22,38,27
61748,22,39,16
61749,22,39,17
61750,22,39,18
61751,22,39,19
61752,22,39,20
61756,22,39,24
61757,22,39,25
61758,22,39,26
61759,22,39,27
61760,22,39,28
61791,22,40,15
61792,22,40,16
61793,22,40,17
61794,22,40,18
61795,22,40,19
61796,22,40,20
61797,22,40,21
61800,22,40,24
61801,22,40,25
61802,22,40,26
61803,22,40,27
61804,22,40,28
61805,22,40,29
61806,22,40,30
61833,22,41,13
61834,22,41,14
61835,22,41,15
61836,22,41,16
61837,22,41,17
61838,22,41,18
61839,22,41,19
61840,22,41,20
61841,22,41,21
61843,22,41,23
61844,22,41,24
61845,22,41,25
61846,22,41,26
61847,22,41,27
61848,22,41,28
61849,22,41,29
61850,22,41,30
61851,22,41,31
61852,22,41,32
61877,22,42,13
61878,22,42,14
61879,22,42,15
61880,22,42,16
61881,22,42,17
61882,22,42,18
61883,22,42,19
61884,22,42,20
61885,22,42,21
61886,22,42,22
61887,22,42,23
61888,22,42,24
61889,22,42,25
61890,22,42,26
61891,22,42,27
61892,22,42,28
61893,22,42,29
61894,22,42,30
61895,22,42,31
61896,22,42,32
61897,22,42,33
61921,22,43,13
61922,22,43,14
61923,22,43,15
61924,22,43,16
61925,22,43,17
61926,22,43,18
61927,22,43,19
61928,22,43,20
61929,22,43,21
61930,22,43,22
61931,22,43,23
61932,22,43,24
61933,22,43,25
61934,22,43,26
61935,22,43,27
61936,22,43,28
61937,22,43,29
61938,22,43,30
61939,22,43,31
61940,22,43,32
61941,22,43,33
61965,22,44,13
61966,22,44,14
61967,22,44,15
61968,22,44,16
61969,22,44,17
61970,22,44,18
61971,22,44,19
61972,22,44,20
61973,22,44,21
61974,22,44,22
61975,22,44,23
61976,22,44,24
61977,22,44,25
61978,22,44,26
61979,22,44,27
61980,22,44,28
61981,22,44,29
61982,22,44,30
61983,22,44,31
61984,22,44,32
61985,22,44,33
62009,22,45,13
62010,22,45,14
62011,22,45,15
62012,22,45,16
62013,22,45,17
62014,22,45,18
62015,22,45,19
62016,22,45,20
62017,22,45,21
62020,22,45,24
62021,22,45,25
62022,22,45,26
62023,22,45,27
62024,22,45,28
62025,22,45,29
62026,22,45,30
62027,22,45,31
62028,22,45,32
62029,22,45,33
62054,22,46,14
62055,22,46,15
62056,22,46,16
62057,22,46,17
62058,22,46,18
62059,22,46,19
62060,22,46,20
62066,22,46,26
62067,22,46,27
62068,22,46,28
62069,22,46,29
62070,22,46,30
62071,22,46,31
62072,22,46,32
62073,22,46,33
62098,22,47,14
62099,22,47,15
62100,22,47,16
62101,22,47,17
62102,22,47,18
62103,22,47,19
62104,22,47,20
62109,22,47,25
62110,22,47,26
62111,22,47,27
62112,22,47,28
62113,22,47,29
62114,22,47,30
62115,22,47,31
62116,22,47,32
62117,22,47,33
62144,22,48,16
62145,22,48,17
62146,22,48,18
62147,22,48,19
62148,22,48,20
62153,22,48,25
62154,22,48,26
62155,22,48,27
62156,22,48,28
62157,22,48,29
62158,22,48,30
62159,22,48,31
62160,22,48,32
62190,22,49,18
62191,22,49,19
62192,22,49,20
62193,22,49,21
62196,22,49,24
62197,22,49,25
62198,22,49,26
62199,22,49,27
62200,22,49,28
62201,22,49,29
62202,22,49,30
62203,22,49,31
62204,22,49,32
62234,22,50,18
62235,22,50,19
62236,22,50,20
62237,22,50,21
62240,22,50,24
62241,22,50,25
62242,22,50,26
62243,22,50,27
62278,22,51,18
62279,22,51,19
62280,22,51,20
62281,22,51,21
62284,22,51,24
62285,22,51,25
62286,22,51,26
62287,22,51,27
62328,22,52,24
62329,22,52,25
62330,22,52,26
62331,22,52,27
62372,22,53,24
62373,22,53,25
62374,22,53,26
64433,23,38,17
64434,23,38,18
64435,23,38,19
64440,23,38,24
64441,23,38,25
64442,23,38,26
64443,23,38,27
64476,23,39,16
64477,23,39,17
64478,23,39,18
64479,23,39,19
64480,23,39,20
64484,23,39,24
64485,23,39,25
64486,23,39,26
64487,23,39,27
64488,23,39,28
64489,23,39,29
64519,23,40,15
64520,23,40,16
64521,23,40,17
64522,23,40,18
64523,23,40,19
64524,23,40,20
64525,23,40,21
64528,23,40,24
64529,23,40,25
64530,23,40,26
64531,23,40,27
64532,23,40,28
64533,23,40,29
64534,23,40,30
64562,23,41,14
64563,23,41,15
64564,23,41,16
64565,23,41,17
64566,23,41,18
64567,23,41,19
64568,23,41,20
64569,23,41,21
64570,23,41,22
64571,23,41,23
64572,23,41,24
64573,23,41,25
64574,23,41,26
64575,23,41,27
64576,23,41,28
64577,23,41,29
64578,23,41,30
64580,23,41,32
64581,23,41,33
64582,23,41,34
64606,23,42,14
64607,23,42,15
64608,23,42,16
64609,23,42,17
64610,23,42,18
64611,23,42,19
64612,23,42,20
64613,23,42,21
64614,23,42,22
64615,23,42,23
64616,23,42,24
64617,23,42,25
64618,23,42,26
64619,23,42,27
64620,23,42,28
64621,23,42,29
64622,23,42,30
64623,23,42,31
64624,23,42,32
64625,23,42,33
64626,23,42,34
64648,23,43,12
64649,23,43,13
64650,23,43,14
64651,23,43,15
64652,23,43,16
64653,23,43,17
64654,23,43,18
64655,23,43,19
64656,23,43,20
64657,23,43,21
64658,23,43,22
64659,23,43,23
64660,23,43,24
64661,23,43,25
64662,23,43,26
64663,23,43,27
64664,23,43,28
64665,23,43,29
64666,23,43,30
64667,23,43,31
64668,23,43,32
64669,23,43,33
64670,23,43,34
64692,23,44,12
64693,23,44,13
64694,23,44,14
64695,23,44,15
64696,23,44,16
64697,23,44,17
64698,23,44,18
64699,23,44,19
64700,23,44,20
64701,23,44,21
64702,23,44,22
64703,23,44,23
64704,23,44,24
64705,23,44,25
64706,23,44,26
64707,23,44,27
64708,23,44,28
64709,23,44,29
64710,23,44,30
64711,23,44,31
64712,23,44,32
64713,23,44,33
64736,23,45,12
64737,23,45,13
64738,23,45,14
64739,23,45,15
64740,23,45,16
64741,23,45,17
64742,23,45,18
64743,23,45,19
64744,23,45,20
64745,23,45,21
64746,23,45,22
64747,23,45,23
64748,23,45,24
64749,23,45,25
64750,23,45,26
64751,23,45,27
64752,23,45,28
64753,23,45,29
64754,23,45,30
64755,23,45,31
64756,23,45,32
64757,23,45,33
64781,23,46,13
64782,23,46,14
64783,23,46,15
64784,23,46,16
64785,23,46,17
64786,23,46,18
64787,23,46,19
64788,23,46,20
64789,23,46,21
64792,23,46,24
64793,23,46,25
64794,23,46,26
64795,23,46,27
64796,23,46,28
64797,23,46,29
64798,23,46,30
64799,23,46,31
64800,23,46,32
64801,23,46,33
64826,23,47,14
64827,23,47,15
64828,23,47,16
64829,23,47,17
64830,23,47,18
64831,23,47,19
64832,23,47,20
64837,23,47,25
64838,23,47,26
64839,23,47,27
64840,23,47,28
64841,23,47,29
64842,23,47,30
64843,23,47,31
64844,23,47,32
64845,23,47,33
64872,23,48,16
64873,23,48,17
64874,23,48,18
64875,23,48,19
64876,23,48,20
64881,23,48,25
64882,23,48,26
64883,23,48,27
64884,23,48,28
64885,23,48,29
64886,23,48,30
64887,23,48,31
64888,23,48,32
64889,23,48,33
64917,23,49,17
64918,23,49,18
64919,23,49,19
64920,23,49,20
64921,23,49,21
64924,23,49,24
64925,23,49,25
64926,23,49,26
64927,23,49,27
64928,23,49,28
64929,23,49,29
64930,23,49,30
